,neighborhood,latitude,longitude,distance ufsc,distance ifsc,distance udesc,bar,restaurante,academia,mercado,ponto de ônibus
53,Jurere Oeste,-27.4415642,-48.491754,17.564781682466442,17.616740474797925,16.12651943414404,18,19,10,0,0
54,Porto da Lagoa,-27.630841600000004,-48.472881,6.119626367853433,8.007691985607783,5.902506930701122,1,2,1,1,0
55,Cachoeira do Bom Jesus,-27.4265307,-48.4236749,21.316421944520076,21.949212451013285,19.47603123757632,6,7,4,4,0
56,Rio Tavares do Norte,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
57,Pedregal,-27.5725284,-48.6432245,12.261889695056727,10.216977462795157,13.708027036682394,8,3,2,4,2
58,Ratones,-27.504516100000004,-48.4903989,10.768175667257474,11.140115552777877,9.185144220336797,0,1,0,0,1
59,Canto da Lagoa,-27.6128504,-48.4854351,4.003052628881856,6.007325492167242,3.5500940840844173,2,6,1,0,0
60,Retiro,-27.5973002,-48.5496098,2.721909055908249,0.8358254586176914,4.5690685347551865,50,50,47,26,9
61,Cacupé,-27.5372014,-48.5245568,6.676628827299497,6.498573597877308,5.766632302960166,4,5,1,1,1
62,Lagoa Pequena,-27.528552,-48.453059,10.22183477951762,11.384220234978814,8.197016139255684,0,2,0,0,0
63,Barra do Sambaqui,-27.484567,-48.5197031,12.52841727669412,12.31629787363878,11.382499336639908,6,3,0,0,0
64,Caiacanga,-27.7634534,-48.5775373,19.286276110144527,19.22345738704366,20.983473925001462,0,1,0,3,0
65,Lagoinha do Norte,-27.3902923,-48.4256691,24.898030956259884,25.360985325948192,23.141311502948852,12,20,1,1,0
66,Base Aérea,-27.6721275,-48.5609768,9.178335004990878,8.940777305344094,11.046635722836672,0,0,0,0,0
67,Pedrita,-27.6472484,-48.4827319,6.781190752954285,8.383044070660736,7.1509080954892585,9,3,3,3,0
68,Açores,-27.7831494,-48.52515220000001,20.687230472936363,21.16627083979346,22.01063154542696,1,3,0,2,0
69,Costeira do Ribeirão,-27.7414288,-48.5574031,16.41904436499899,16.525004915527465,18.034510038405212,3,2,0,0,0
70,Moenda,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
71,Tapera,-27.6868132,-48.5640627,10.796743354282363,10.601927611815851,12.625771185364986,3,3,2,4,2
72,Daniela,-27.4489537,-48.5312504,16.512878846163066,16.110937420853773,15.469173495152473,0,12,0,1,0
73,Vargem Pequena,-27.4744795,-48.4616756,14.888786759203164,15.440917314838725,13.127993866752027,2,0,0,0,0
74,Canto dos Araçás,-27.5940745,-48.4609399,6.028753544501186,8.022440338340553,4.43641530272959,13,1,1,4,0
75,Recanto dos Açores,-27.5184149,-48.5154533,8.785210610448374,8.758043441124926,7.595106214576154,2,4,0,0,1
76,Canto do Lamim,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
77,Vargem de Fora,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
78,Dunas da Lagoa,-27.6214738,-48.4498522,7.606878068008072,9.631796938731283,6.714567709336307,4,6,0,0,0
79,Autódromo,-27.59667,-48.54917,2.6791430693704417,0.7637185155602576,4.508554656867517,50,50,50,27,9
80,Forte,-27.421110700000003,-48.4328476,21.468777205339123,22.003652552230314,19.681741222321058,12,10,6,4,0
81,Ingleses Norte,-27.4187793,-48.4080507,22.806809854231176,23.515950410809413,20.923288493157735,1,0,2,1,0
82,Caieira,-27.5966909,-48.53527490000001,1.3099716056174209,0.7816212944969457,3.2073788169119517,50,50,15,14,0
83,Praia Brava,-27.3976128,-48.4158254,24.54581998943575,25.106398473429106,22.734777040728897,7,1,0,1,0
84,Praia Mole,-27.603017,-48.4332483,8.772225577168857,10.803869638995357,7.322528520848643,19,3,0,0,1
