,name,id,latitude,longitude
0,UFSC,4baa92c1f964a520ec753ae3,-27.597184031102586,-48.52199747324629
1,IFSC,4d496f119544a093946b28e7,-27.593464386281596,-48.542318739587394
2,UDESC,540d889a498efcfbb6c4b9a9,-27.586069283504866,-48.50502680576235
